10.00,0.00700
20.00,0.01200
30.00,0.01500
40.00,0.02200
50.00,0.02300
60.00,0.02800
70.00,0.03500
80.00,0.04000
90.00,0.04300
100.00,0.05200
110.00,0.05400
120.00,0.05800
130.00,0.06200
140.00,0.06800
150.00,0.06800
160.00,0.07400
170.00,0.08000
180.00,0.08200
190.00,0.08400
200.00,0.08800
210.00,0.09600
220.00,0.10000
230.00,0.10200
240.00,0.10600
250.00,0.11200
260.00,0.11400
270.00,0.12000
280.00,0.12400
290.00,0.12600
300.00,0.13000
310.00,0.13200
320.00,0.13800
330.00,0.14400
340.00,0.14400
350.00,0.15200
360.00,0.15200
370.00,0.15600
380.00,0.16200
390.00,0.16600
400.00,0.17000
410.00,0.17600
420.00,0.18000
430.00,0.18200
440.00,0.18800
450.00,0.19000
460.00,0.19400
470.00,0.20000
480.00,0.20000
490.00,0.20600
500.00,0.20800
510.00,0.21133
520.00,0.21867
530.00,0.22200
540.00,0.22533
550.00,0.22867
560.00,0.23200
570.00,0.23533
580.00,0.23667
590.00,0.24200
600.00,0.24533
610.00,0.24867
620.00,0.24800
630.00,0.25333
640.00,0.25467
650.00,0.26200
660.00,0.26133
670.00,0.26667
680.00,0.26800
690.00,0.27533
700.00,0.27467
710.00,0.27752
720.00,0.28038
730.00,0.28524
740.00,0.28610
750.00,0.29095
760.00,0.29181
770.00,0.29467
780.00,0.30152
790.00,0.30038
800.00,0.30524
810.00,0.31010
820.00,0.30895
830.00,0.31381
840.00,0.31667
850.00,0.31752
860.00,0.32038
870.00,0.32324
880.00,0.33010
890.00,0.32895
900.00,0.33581
910.00,0.33867
920.00,0.33952
930.00,0.34038
940.00,0.34524
950.00,0.34810
960.00,0.35295
970.00,0.35181
980.00,0.35667
990.00,0.35752
1000.00,0.36038

